,Unnamed: 0,PSO,GWO
0,0,48647.14065501256,51092.6406309157
1,1,49742.23991058777,52184.114959228646
2,2,51347.91572350584,52833.03616859066
3,3,51719.776213491925,52869.40065189403
4,4,51719.776213491925,52933.05974873685
5,5,52047.94000137999,52941.29837398901
6,6,52177.5441257583,52941.29837398901
7,7,52190.57376170015,52941.29837398901
8,8,52247.89675464191,52941.29837398901
9,9,52997.03768045982,52941.29837398901
