,Unnamed: 0,PSO,GWO
0,0,48306.24934788408,48760.122611380044
1,1,49613.569885853765,50329.297083845755
2,2,51482.86755851243,50873.0133609247
3,3,52104.31444357655,51149.201214412045
4,4,52260.17304296801,51149.201214412045
5,5,53025.475744233685,51149.201214412045
6,6,53071.644675208416,51198.350341624355
7,7,53313.63945150571,51198.350341624355
8,8,53449.88534882844,51198.350341624355
9,9,53449.88534882844,51198.350341624355
