,0
0,180868.7627852113
1,180868.7627852113
2,180868.7627852113
3,180868.7627852113
4,173235.15240276398
5,173235.15240276398
6,173235.15240276398
7,173235.15240276398
8,173235.15240276398
9,173235.15240276398
10,173235.15240276398
11,173235.15240276398
12,173235.15240276398
13,173235.15240276398
14,173235.15240276398
15,173235.15240276398
16,173235.15240276398
17,173235.15240276398
18,173235.15240276398
19,173235.15240276398
20,173235.15240276398
21,173235.15240276398
22,173235.15240276398
23,169012.669681046
24,165357.04970203017
25,165357.04970203017
26,165357.04970203017
27,165357.04970203017
28,165357.04970203017
29,165357.04970203017
30,165357.04970203017
31,165357.04970203017
32,165357.04970203017
33,165357.04970203017
34,165357.04970203017
35,165357.04970203017
36,165357.04970203017
37,165357.04970203017
38,165357.04970203017
39,165357.04970203017
40,165357.04970203017
41,165357.04970203017
42,165357.04970203017
43,165357.04970203017
44,165357.04970203017
45,165357.04970203017
46,165357.04970203017
47,165357.04970203017
48,165357.04970203017
49,165357.04970203017
50,165357.04970203017
51,165357.04970203017
52,165357.04970203017
53,165357.04970203017
54,165357.04970203017
55,165357.04970203017
56,165357.04970203017
57,165357.04970203017
58,165357.04970203017
59,165357.04970203017
60,165357.04970203017
61,165357.04970203017
62,164332.7868985665
63,164332.7868985665
64,164332.7868985665
65,164332.7868985665
66,164332.7868985665
67,164332.7868985665
68,164332.7868985665
69,164332.7868985665
70,164332.7868985665
71,164332.7868985665
72,164332.7868985665
73,164332.7868985665
74,164332.7868985665
75,164332.7868985665
76,164332.7868985665
77,144599.05204318964
78,144599.05204318964
79,144599.05204318964
80,144599.05204318964
81,144599.05204318964
82,144599.05204318964
83,144599.05204318964
84,144599.05204318964
85,144599.05204318964
86,144599.05204318964
87,144599.05204318964
88,144599.05204318964
89,144599.05204318964
90,144599.05204318964
91,144599.05204318964
92,144599.05204318964
93,144599.05204318964
94,144599.05204318964
95,144599.05204318964
96,144599.05204318964
97,144599.05204318964
98,144599.05204318964
99,144599.05204318964
