,0
0,156438.51880990405
1,163620.07983756528
2,140394.4706542941
3,146836.25806543496
4,159638.0153312512
5,156381.06252896241
6,157359.1696355589
7,152986.9054048449
8,148267.79642270337
9,156475.18175396952
